,BRANCH_NAME,ACCESSION,TAXON_ID,LINEAGE,TITLE
11,XM_022583733_1_PREDICTED_Delphinapterus_leucas_brain_derived_neurotrophic_factor_BDNF_mRNA_1,XM_022583733.1,9749,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Monodontidae', 'Delphinapterus', 'Delphinapterus leucas']","PREDICTED: Delphinapterus leucas brain derived neurotrophic factor (BDNF), mRNA"
12,XM_007461686_1_PREDICTED_Lipotes_vexillifer_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X8_mRNA_7,XM_007461686.1,118797,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Lipotidae', 'Lipotes', 'Lipotes vexillifer']","PREDICTED: Lipotes vexillifer brain-derived neurotrophic factor (BDNF), transcript variant X8, mRNA"
13,XM_007461679_1_PREDICTED_Lipotes_vexillifer_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA_1,XM_007461679.1,118797,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Lipotidae', 'Lipotes', 'Lipotes vexillifer']","PREDICTED: Lipotes vexillifer brain-derived neurotrophic factor (BDNF), transcript variant X1, mRNA"
14,XM_030864836_1_PREDICTED_Globicephala_melas_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X4_mRNA_12,XM_030864836.1,9731,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Delphinidae', 'Globicephala', 'Globicephala melas']","PREDICTED: Globicephala melas brain derived neurotrophic factor (BDNF), transcript variant X4, mRNA"
15,XM_030864833_1_PREDICTED_Globicephala_melas_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA_3,XM_030864833.1,9731,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Delphinidae', 'Globicephala', 'Globicephala melas']","PREDICTED: Globicephala melas brain derived neurotrophic factor (BDNF), transcript variant X1, mRNA"
16,XM_029207944_1_PREDICTED_Monodon_monoceros_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X9_mRNA_7,XM_029207944.1,40151,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Monodontidae', 'Monodon', 'Monodon monoceros']","PREDICTED: Monodon monoceros brain derived neurotrophic factor (BDNF), transcript variant X9, mRNA"
17,XM_029207934_1_PREDICTED_Monodon_monoceros_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA_1,XM_029207934.1,40151,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Monodontidae', 'Monodon', 'Monodon monoceros']","PREDICTED: Monodon monoceros brain derived neurotrophic factor (BDNF), transcript variant X1, mRNA"
18,XM_029207935_1_PREDICTED_Monodon_monoceros_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X2_mRNA_1,XM_029207935.1,40151,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Monodontidae', 'Monodon', 'Monodon monoceros']","PREDICTED: Monodon monoceros brain derived neurotrophic factor (BDNF), transcript variant X2, mRNA"
19,XM_032641483_1_PREDICTED_Phocoena_sinus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X3_mRNA_1,XM_032641483.1,42100,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Phocoenidae', 'Phocoena', 'Phocoena sinus']","PREDICTED: Phocoena sinus brain derived neurotrophic factor (BDNF), transcript variant X3, mRNA"
20,XM_028501149_1_PREDICTED_Physeter_catodon_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X15_mRNA_1,XM_028501149.1,9755,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Physeteridae', 'Physeter', 'Physeter catodon']","PREDICTED: Physeter catodon brain derived neurotrophic factor (BDNF), transcript variant X15, mRNA"
21,XM_028501147_1_PREDICTED_Physeter_catodon_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X14_mRNA_1,XM_028501147.1,9755,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Physeteridae', 'Physeter', 'Physeter catodon']","PREDICTED: Physeter catodon brain derived neurotrophic factor (BDNF), transcript variant X14, mRNA"
22,XM_028501146_1_PREDICTED_Physeter_catodon_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X13_mRNA_7,XM_028501146.1,9755,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Physeteridae', 'Physeter', 'Physeter catodon']","PREDICTED: Physeter catodon brain derived neurotrophic factor (BDNF), transcript variant X13, mRNA"
23,XM_028501150_1_PREDICTED_Physeter_catodon_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X17_mRNA_7,XM_028501150.1,9755,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Physeteridae', 'Physeter', 'Physeter catodon']","PREDICTED: Physeter catodon brain derived neurotrophic factor (BDNF), transcript variant X17, mRNA"
24,XM_007113739_2_PREDICTED_Physeter_catodon_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X18_mRNA_2,XM_007113739.2,9755,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Whippomorpha', 'Cetacea', 'Odontoceti', 'Physeteridae', 'Physeter', 'Physeter catodon']","PREDICTED: Physeter catodon brain derived neurotrophic factor (BDNF), transcript variant X18, mRNA"
25,XM_015101092_2_PREDICTED_Ovis_aries_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X2_mRNA_2,XM_015101092.2,9940,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Caprinae', 'Ovis', 'Ovis aries']","PREDICTED: Ovis aries brain derived neurotrophic factor (BDNF), transcript variant X2, mRNA"
26,XM_005690027_2_PREDICTED_Capra_hircus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X5_mRNA_4,XM_005690027.2,9925,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Caprinae', 'Capra', 'Capra hircus']","PREDICTED: Capra hircus brain derived neurotrophic factor (BDNF), transcript variant X5, mRNA"
27,XM_005690025_2_PREDICTED_Capra_hircus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA_1,XM_005690025.2,9925,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Caprinae', 'Capra', 'Capra hircus']","PREDICTED: Capra hircus brain derived neurotrophic factor (BDNF), transcript variant X1, mRNA"
28,XM_027562791_1_PREDICTED_Bos_indicus_x_Bos_taurus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X5_mRNA_6,XM_027562791.1,30522,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Bovinae', 'Bos', 'Bos indicus x Bos taurus']","PREDICTED: Bos indicus x Bos taurus brain derived neurotrophic factor (BDNF), transcript variant X5, mRNA"
29,XM_027562786_1_PREDICTED_Bos_indicus_x_Bos_taurus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA_2,XM_027562786.1,30522,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Bovinae', 'Bos', 'Bos indicus x Bos taurus']","PREDICTED: Bos indicus x Bos taurus brain derived neurotrophic factor (BDNF), transcript variant X1, mRNA"
30,XM_019974522_1_PREDICTED_Bos_indicus_brain_derived_neurotrophic_factor_BDNF_mRNA_7,XM_019974522.1,9915,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Bovinae', 'Bos', 'Bos indicus']","PREDICTED: Bos indicus brain derived neurotrophic factor (BDNF), mRNA"
31,XM_006068006_2_PREDICTED_Bubalus_bubalis_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X2_mRNA_2,XM_006068006.2,89462,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Bovidae', 'Bovinae', 'Bubalus', 'Bubalus bubalis']","PREDICTED: Bubalus bubalis brain derived neurotrophic factor (BDNF), transcript variant X2, mRNA"
32,XM_020903261_1_PREDICTED_Odocoileus_virginianus_texanus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X6_mRNA_5,XM_020903261.1,9880,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Cervidae', 'Odocoileinae', 'Odocoileus', 'Odocoileus virginianus', 'Odocoileus virginianus texanus']","PREDICTED: Odocoileus virginianus texanus brain derived neurotrophic factor (BDNF), transcript variant X6, mRNA"
33,XM_020903256_1_PREDICTED_Odocoileus_virginianus_texanus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA_1,XM_020903256.1,9880,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Ruminantia', 'Pecora', 'Cervidae', 'Odocoileinae', 'Odocoileus', 'Odocoileus virginianus', 'Odocoileus virginianus texanus']","PREDICTED: Odocoileus virginianus texanus brain derived neurotrophic factor (BDNF), transcript variant X1, mRNA"
34,XM_005654686_3_PREDICTED_Sus_scrofa_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X5_mRNA_4,XM_005654686.3,9823,"['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Artiodactyla', 'Suina', 'Suidae', 'Sus', 'Sus scrofa']","PREDICTED: Sus scrofa brain derived neurotrophic factor (BDNF), transcript variant X5, mRNA"
